operator_id,route_id
2034,9273
2054,1902
2036,6687
2036,1130
2036,1141
2036,1109
2033,9274
2033,9286
2033,9285
2032,9280
2032,9282
2032,9284
2035,9249
2035,9250
2035,9289
1847,1327
1847,1348
1847,8228
1847,1332
1847,1692
1847,1776
1847,1563
1847,7516
1847,1781
1847,1481
1847,7367
1847,264
1847,1771
1847,1601
1847,1738
1847,3810
1847,2094
1847,7426
1847,1686
1847,7509
1847,1256
1847,1250
1847,1581
1847,1774
1847,1693
1847,7518
1847,1808
1847,1346
1847,1602
1847,7377
1847,1778
1847,6546
1847,1685
1847,1482
1847,1775
1847,7379
1847,8230
1847,1694
1847,1314
1847,3239
1847,6706
1847,1562
1847,7948
1847,8229
1847,7512
1847,1779
1847,7517
1847,7378
1847,8407
1847,1749
1847,1620
1847,1697
1847,1820
1847,366
1847,1721
1847,1780
1827,1792
1827,1679
1827,1547
1827,1711
1827,1748
1827,304
1827,1580
1827,1699
1827,1718
1827,1725
1827,1242
1827,1754
1827,1790
1827,1767
1827,1279
1827,1710
1827,1690
1827,8709
1827,2112
1827,1678
1827,1543
1827,1671
1827,1501
1827,7375
1827,243
1827,1793
1827,1668
1827,1803
1827,7686
1827,1719
1827,1880
1827,7637
1827,5322
1827,1726
1827,365
1827,1553
1827,231
1827,4215
1827,1761
1827,1772
1827,1554
1827,7372
1827,7515
1827,389
1827,1709
1827,7634
1827,1253
1827,1858
1827,2535
1827,1751
1827,1782
1827,1289
1827,1777
1827,1540
1827,7652
1827,1698
1827,4455
1827,7506
1827,1723
1827,1564
1827,1700
1827,2395
1827,1542
1827,1551
1827,1704
1827,1788
1827,1664
1827,3812
1827,6606
1827,8248
1827,369
1827,6406
1827,1804
1827,6686
1827,1708
1827,1281
1827,1717
1827,8249
1827,1541
1827,8710
1827,4095
1827,3341
1827,1768
1827,2615
1827,1552
1827,1789
1827,223
1827,1691
1827,7380
1827,7636
1827,1703
1827,1500
1827,7639
1827,221
1827,7370
1827,1731
1827,1545
1827,1688
1827,1806
1827,2093
1827,8429
1827,1556
1827,1715
1827,7646
1827,7640
1827,5482
1827,1244
1827,4836
1827,1665
1827,1729
1827,1762
1827,1420
1827,7519
1827,1783
1827,7638
1827,1730
1827,1335
1827,1791
1827,2273
1827,1756
1827,3917
1827,1675
1827,1682
1827,7629
1827,1722
1827,7376
1827,8227
1827,1261
1827,1770
1827,1661
1827,1714
1827,2133
1827,7653
1827,1701
1827,1853
1827,7650
1827,1755
1827,1784
1827,1757
1827,1666
1827,1746
1827,3918
1827,1733
1827,1565
1827,7666
1827,1544
1827,7486
1827,1769
1827,371
1827,7626
1827,1713
1827,7648
1827,1805
1827,1735
1827,1752
1827,368
1827,1557
1827,7649
1827,1760
1827,1296
1827,2435
1827,1724
1827,1732
1827,1695
1827,1258
1827,8430
1827,1720
1827,1712
1827,1702
1827,1480
1827,7627
1827,242
1827,367
1827,241
1827,1745
945,9288
945,9272
945,9271
945,9251
945,9287
363,1077
363,1136
363,1126
363,1119
363,1137
363,1134
363,1084
363,6223
363,4537
363,9629
363,1112
363,1100
363,1064
363,1092
363,1135
363,1143
363,1107
363,9449
363,1085
363,9149
363,1099
363,1065
363,1138
363,9489
363,1106
363,3646
363,1117
363,1095
363,1086
363,1101
363,1066
363,9631
363,1094
363,1133
363,1110
363,1102
363,1078
363,1105
363,4235
363,1111
363,1904
363,1118
363,1093
363,1067
363,1128
363,1087
363,1124
363,1132
363,1079
363,1089
363,1115
363,1080
363,8829
363,5581
363,1073
363,1123
363,1068
363,1072
363,1129
363,1131
363,1096
363,8989
363,3449
363,1108
363,1125
363,1081
363,9609
363,1074
363,1122
363,1127
363,1139
363,8669
363,9630
363,1116
363,1088
363,1069
363,1103
363,1091
363,1082
363,1113
363,1142
363,1062
363,1070
363,1075
363,1120
363,1098
363,1104
363,1140
363,1083
363,1090
363,7726
363,1114
363,1071
363,1063
363,1121
363,1076
363,1097
443,1750
443,1833
443,1832
443,5381
443,1814
443,1742
443,3609
443,1824
443,7819
443,1737
443,338
443,3427
443,1845
443,6430
443,7371
443,1847
443,1848
443,7368
443,347
443,8267
443,1727
443,7111
443,3608
443,1823
443,8690
443,7641
443,1834
443,1744
443,2173
443,2293
443,2556
443,1680
443,1830
443,1284
443,7374
443,1835
443,1660
443,7069
443,9569
443,1440
443,7514
443,4837
443,1844
443,6427
443,2092
443,7406
443,1849
443,2132
443,1810
443,9509
443,8431
443,2012
443,2152
443,1813
443,1380
443,5221
443,1673
443,7642
443,1763
443,1741
443,1548
443,324
443,7526
443,1829
443,1662
443,7366
443,1549
443,6428
443,7513
443,1838
443,7510
443,1669
443,1841
443,5343
443,2313
443,3626
443,284
443,1851
443,1800
443,1520
443,1828
443,7373
443,1809
443,1812
443,8287
443,1821
443,1836
443,1502
443,1850
443,1521
443,2475
443,1839
443,2172
443,3750
443,4055
443,1802
443,6426
443,1743
443,1811
443,9549
443,7382
443,3832
443,1842
443,1663
443,1837
443,1460
443,1801
443,1766
443,9109
443,3076
443,1846
443,7466
443,1670
443,7511
443,6429
443,1843
443,1840
362,9762
362,3319
362,9757
362,7381
362,9729
362,1266
362,9828
362,1360
362,9736
362,9819
362,9764
362,388
362,9796
362,9649
362,9693
362,232
362,9801
362,1504
362,1278
362,9836
362,9745
362,1324
362,2436
362,8769
362,9699
362,9749
362,9732
362,9710
362,9823
362,9826
362,9675
362,1246
362,7520
362,336
362,9411
362,9728
362,9694
362,9786
362,9717
362,9734
362,9845
362,9761
362,9735
362,1255
362,9829
362,9721
362,9687
362,9678
362,9727
362,3219
362,9714
362,234
362,9689
362,1674
362,1326
362,9810
362,9835
362,9671
362,9755
362,9676
362,1621
362,9672
362,9740
362,9784
362,9806
362,235
362,9818
362,9830
362,1329
362,230
362,9803
362,3299
362,9705
362,9790
362,9688
362,9841
362,9750
362,7630
362,9733
362,9706
362,9846
362,9730
362,9695
362,334
362,9682
362,9787
362,236
362,2032
362,9701
362,9805
362,9589
362,9817
362,4056
362,9724
362,9777
362,1734
362,9769
362,9741
362,9763
362,9785
362,335
362,1347
362,9765
362,1747
362,1293
362,4696
362,9779
362,9774
362,9670
362,9737
362,9700
362,1689
362,9795
362,1247
362,1331
362,9696
362,370
362,9722
362,9837
362,9746
362,9824
362,1318
362,9430
362,9832
362,1316
362,9789
362,9686
362,9816
362,1600
362,386
362,8689
362,9840
362,9677
362,9771
362,9780
362,346
362,9731
362,1736
362,9760
362,8569
362,5344
362,237
362,9809
362,1785
362,1291
362,9708
362,9742
362,9770
362,9673
362,4162
362,8489
362,9758
362,9797
362,9843
362,1300
362,9679
362,9793
362,3155
362,327
362,9669
362,1274
362,9719
362,9833
362,446
362,9812
362,1245
362,225
362,328
362,1555
362,9010
362,1294
362,9748
362,348
362,238
362,1302
362,9743
362,9776
362,345
362,9715
362,9831
362,9825
362,9804
362,9692
362,305
362,8189
362,1306
362,9674
362,1288
362,9751
362,9766
362,337
362,9753
362,9838
362,239
362,9813
362,325
362,9685
362,1251
362,1338
362,9842
362,306
362,4636
362,9702
362,9716
362,224
362,3790
362,9778
362,9800
362,233
362,344
362,9713
362,9788
362,1303
362,9822
362,9709
362,9725
362,9726
362,1301
362,9697
362,8409
362,1860
362,307
362,1582
362,9738
362,9691
362,3326
362,9009
362,7508
362,9723
362,4896
362,9814
362,9754
362,3667
362,8509
362,424
362,9773
362,9747
362,1342
362,9680
362,4638
362,226
362,9799
362,9827
362,9792
362,9834
362,240
362,332
362,9782
362,228
362,9775
362,1323
362,1180
362,229
362,1298
362,8469
362,9821
362,1265
362,7915
362,9712
362,9683
362,1740
362,9690
362,9783
362,4159
362,9698
362,4637
362,364
362,9707
362,9718
362,9820
362,9720
362,1550
362,9815
362,9704
362,8652
362,9772
362,9807
362,9794
362,9681
362,7706
362,9429
362,9844
362,9781
362,1603
362,9768
362,4195
362,9767
362,9744
362,385
362,9811
362,9798
362,9739
362,331
362,9752
362,9711
362,1292
362,9684
362,384
362,6042
362,9791
362,9759
362,3791
362,9029
362,9703
